OrderItemID,OrderID,MenuID,Quantity,Price,Subtotal,CreatedDate,ModifiedDate
1,1,1,1,187,187,2023-12-23 14:24:35.663962,2024-04-12 14:24:35.663962
2,2,3,2,651,1302,2024-04-18 14:24:35.664132,2024-07-29 14:24:35.664132
3,2,4,2,187,374,2024-04-18 14:24:35.664132,2024-09-07 14:24:35.664132
4,3,5,3,187,561,2024-06-24 14:24:35.664284,2024-10-23 14:24:35.664284
5,4,9,2,269,538,2023-12-10 14:24:35.664649,2024-03-19 14:24:35.664649
6,5,11,1,161,161,2024-05-01 14:24:35.665014,2024-09-28 14:24:35.665014
7,5,12,1,111,111,2024-05-01 14:24:35.665014,2024-08-29 14:24:35.665014
8,6,11,2,180,360,2023-11-29 14:24:35.665403,2024-04-06 14:24:35.665403
9,6,12,2,221,442,2023-11-29 14:24:35.665403,2024-03-10 14:24:35.665403
10,6,10,1,196,196,2023-11-29 14:24:35.665403,2024-03-05 14:24:35.665403
11,7,10,3,306,918,2024-01-05 14:24:35.665573,2024-05-19 14:24:35.665573
12,8,5,3,134,402,2024-07-02 14:24:35.665915,2024-11-08 14:24:35.665915
13,8,6,3,242,726,2024-07-02 14:24:35.665915,2024-10-04 14:24:35.665915
14,8,7,2,231,462,2024-07-02 14:24:35.665915,2024-11-15 14:24:35.665915
