OrderItemID,OrderID,MenuID,Quantity,Price,Subtotal,CreatedDate,ModifiedDate
15,9,19,3,45,135,2024-09-16 14:24:35.666324,2025-01-01 14:24:35.666324
16,9,20,3,322,966,2024-09-16 14:24:35.666324,2025-01-13 14:24:35.666324
17,10,18,3,201,603,2024-04-02 14:24:35.666702,2024-08-20 14:24:35.666702
18,10,18,3,309,927,2024-04-02 14:24:35.666702,2024-07-11 14:24:35.666702
19,10,18,1,139,139,2024-04-02 14:24:35.666702,2024-07-16 14:24:35.666702
20,10,18,1,146,146,2024-04-02 14:24:35.666702,2024-07-30 14:24:35.666702
21,11,25,1,328,328,2023-11-24 14:24:35.667126,2024-03-24 14:24:35.667126
22,11,26,1,315,315,2023-11-24 14:24:35.667126,2024-04-13 14:24:35.667126
23,11,26,1,637,637,2023-11-24 14:24:35.667126,2024-03-03 14:24:35.667126
24,11,25,2,355,710,2023-11-24 14:24:35.667126,2024-04-18 14:24:35.667126
25,12,21,3,328,984,2023-11-21 14:24:35.667322,2024-04-01 14:24:35.667322
26,12,22,1,374,374,2023-11-21 14:24:35.667322,2024-04-14 14:24:35.667322
27,12,23,3,355,1065,2023-11-21 14:24:35.667322,2024-03-18 14:24:35.667322
28,12,24,1,315,315,2023-11-21 14:24:35.667322,2024-03-03 14:24:35.667322
